Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,employment_employed,Labor_force,employment_unemployed,Employment Rate,Unemployment Rate,Median_male_age,Median_female_age,Walkable_time_min,Education_none,Male_population,Female_population,Students_population,Population_from_5_17,Population_18_over,Gini_index,City
90061,27203.0,29.1,36094.0,13927.0,8926.0,32.812557438517814,10233.0,11667.0,1434.0,87.70892260221136,12.291077397788635,28.7,29.6,,652.0,12497.0,14706.0,25789.0,634.0,2309.0,0.4596,Los Angeles
90062,33690.0,34.3,37293.0,15316.0,8836.0,26.22736717126744,13986.0,15626.0,1640.0,89.50467170101113,10.495328298988865,32.2,35.9,,1279.0,16025.0,17665.0,32065.0,1109.0,3658.0,0.4704,Los Angeles
90063,54142.0,31.2,41267.0,14703.0,13729.0,25.357393520741752,22519.0,25882.0,3363.0,87.00641372382351,12.993586276176494,30.4,32.1,10555.0,1757.0,27041.0,27101.0,52005.0,1873.0,7031.0,0.4335,Los Angeles
90064,27032.0,38.3,92626.0,59338.0,2263.0,8.371559633027523,14053.0,14640.0,587.0,95.99043715846994,4.009562841530054,36.5,40.6,,98.0,12942.0,14090.0,25964.0,27.0,1058.0,0.5282,Los Angeles
90065,46965.0,37.0,54796.0,27209.0,9086.0,19.34632172894709,23008.0,25236.0,2228.0,91.17134252654937,8.828657473450626,35.7,38.6,,1235.0,23756.0,23209.0,45260.0,807.0,4565.0,0.4965,Los Angeles
90066,59258.0,37.5,72004.0,42388.0,6448.0,10.881231226163555,33395.0,35924.0,2529.0,92.96013806925733,7.039861930742679,37.0,37.9,,656.0,29855.0,29403.0,57062.0,565.0,4054.0,0.4651,Los Angeles
90067,2355.0,65.8,120208.0,152254.0,176.0,7.473460721868365,820.0,863.0,43.0,95.01738122827346,4.9826187717265356,65.1,66.9,,16.0,1207.0,1148.0,2350.0,0.0,227.0,0.5958,Los Angeles
90068,21450.0,39.7,76485.0,75182.0,2490.0,11.608391608391608,13508.0,15070.0,1562.0,89.63503649635037,10.364963503649635,39.0,40.4,4255.0,106.0,11701.0,9749.0,20864.0,43.0,832.0,0.5534,Los Angeles
90069,20435.0,41.6,82237.0,79600.0,2067.0,10.11499877660876,14554.0,15637.0,1083.0,93.07411907654921,6.92588092345079,42.0,40.7,6675.0,57.0,12613.0,7822.0,20215.0,36.0,834.0,0.5425,Los Angeles
90071,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
90073,915.0,54.3,-666666666.0,11281.0,439.0,47.978142076502735,82.0,128.0,40.0,64.0625,31.25,54.7,45.7,,28.0,839.0,76.0,915.0,0.0,0.0,-666666666.0,Los Angeles
90077,8912.0,47.9,178194.0,100874.0,311.0,3.4896768402154397,4062.0,4276.0,203.0,94.9953227315248,4.747427502338634,47.5,49.1,210.0,90.0,4324.0,4588.0,8704.0,35.0,124.0,0.5064,Los Angeles
90079,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
90089,3680.0,19.1,-666666666.0,7110.0,13.0,0.3532608695652174,687.0,996.0,309.0,68.97590361445783,31.02409638554217,19.2,19.1,,0.0,1729.0,1951.0,3680.0,0.0,0.0,0.1945,Los Angeles
90090,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
90094,8072.0,34.3,121087.0,69563.0,910.0,11.273538156590684,4712.0,4947.0,235.0,95.24964625025268,4.750353749747322,35.2,33.5,,0.0,3691.0,4381.0,7661.0,0.0,57.0,0.4622,Los Angeles
90095,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Los Angeles
90230,32692.0,39.1,73469.0,39690.0,3665.0,11.21069374770586,17299.0,18712.0,1413.0,92.44869602394185,7.551303976058144,36.5,41.5,8290.0,502.0,15849.0,16843.0,31513.0,227.0,1593.0,0.461,Los Angeles
90301,36429.0,33.2,40799.0,18413.0,7557.0,20.744461829860825,16681.0,19208.0,2527.0,86.84402332361516,13.15597667638484,31.4,35.6,,672.0,17871.0,18558.0,34755.0,887.0,3589.0,0.4336,Inglewood
90302,31064.0,33.5,43494.0,21499.0,6342.0,20.415915529229977,14732.0,17310.0,2562.0,85.10687463893703,14.800693240901213,32.5,34.2,,506.0,14122.0,16942.0,29424.0,653.0,1994.0,0.4388,Inglewood
90303,25134.0,31.8,40632.0,17445.0,6597.0,26.247314394843638,10536.0,12141.0,1605.0,86.7803311094638,13.2196688905362,30.1,33.5,,537.0,11735.0,13399.0,24145.0,531.0,2208.0,0.4555,Inglewood
90304,27008.0,28.9,38374.0,13189.0,8280.0,30.657582938388625,11657.0,13124.0,1467.0,88.82200548613228,11.177994513867723,28.2,30.1,5935.0,954.0,13583.0,13425.0,25653.0,1131.0,2989.0,0.4215,Inglewood
90305,15777.0,42.2,66114.0,33016.0,1687.0,10.692780630031057,7697.0,8616.0,919.0,89.33379758588673,10.666202414113277,40.5,43.2,,159.0,7179.0,8598.0,15162.0,72.0,380.0,0.4357,Inglewood
90501,43405.0,36.0,62590.0,27869.0,6420.0,14.790922704757516,22023.0,24015.0,1966.0,91.70518425983761,8.186550072871123,35.2,37.1,5020.0,659.0,21453.0,21952.0,41476.0,1003.0,3700.0,0.4328,Torrance
90502,17855.0,42.1,67225.0,26583.0,2209.0,12.371884626155138,8196.0,9087.0,878.0,90.19478375701551,9.662154726532409,39.6,44.5,,444.0,8913.0,8942.0,17121.0,111.0,1572.0,0.3986,Torrance
90503,44562.0,40.3,78290.0,38477.0,3428.0,7.692652932992235,21465.0,22815.0,1350.0,94.0828402366864,5.9171597633136095,38.8,41.5,5550.0,488.0,21623.0,22939.0,43082.0,605.0,3879.0,0.4295,Torrance
90504,33609.0,40.0,75036.0,33226.0,2901.0,8.631616531286262,16002.0,17531.0,1518.0,91.27830699903029,8.658947008156979,37.9,41.5,,334.0,16839.0,16770.0,32490.0,325.0,1969.0,0.4273,Torrance
90505,37242.0,43.4,84450.0,44236.0,1882.0,5.053434294613608,18031.0,19054.0,1002.0,94.63104859871943,5.258738322661908,42.3,44.0,995.0,108.0,17933.0,19309.0,36053.0,555.0,2205.0,0.4498,Torrance
90506,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Torrance
90745,57785.0,37.6,71813.0,23543.0,7019.0,12.146750886908368,26604.0,29963.0,3336.0,88.78950705870574,11.133731602309515,36.3,39.0,,1592.0,28122.0,29663.0,55750.0,695.0,3918.0,0.3956,Long Beach
90746,26584.0,41.0,80175.0,30304.0,2173.0,8.174089678001806,12433.0,13979.0,1530.0,88.94055368767437,10.944988911939337,36.9,45.0,,560.0,12980.0,13604.0,25761.0,92.0,735.0,0.3634,Long Beach
90747,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,0.0,0.0,,,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,Long Beach
90755,11491.0,33.3,70357.0,32282.0,1778.0,15.472978853015404,5971.0,6427.0,456.0,92.90493231678855,7.095067683211452,32.7,33.9,,320.0,5646.0,5845.0,10937.0,6.0,232.0,0.4429,Long Beach
90802,39873.0,36.1,45689.0,34394.0,9898.0,24.82381561457628,22190.0,24094.0,1795.0,92.09761766414876,7.449987548767328,36.4,35.9,13725.0,757.0,21152.0,18721.0,38466.0,417.0,2178.0,0.4883,Long Beach
90803,31680.0,43.6,78406.0,61136.0,2619.0,8.267045454545455,18638.0,19995.0,1344.0,93.21330332583146,6.721680420105026,43.6,43.7,,410.0,15416.0,16264.0,31134.0,16.0,381.0,0.4861,Long Beach
90804,40751.0,30.4,46790.0,22900.0,10159.0,24.929449584059288,20106.0,22070.0,1943.0,91.10104213864975,8.803806071590394,30.0,30.9,5645.0,2700.0,19934.0,20817.0,39037.0,733.0,2488.0,0.4552,Long Beach
